rank,candidate_id,title,company,score,honeypot_score,flags,flag_count,retr,eval,ltr,sys,reasoning
72,CAND_0016659,ML Engineer,Glance,40.88878,0.0,,0,1.5,0.0,2.0,1.0,"ML Engineer at Glance with 4.4 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (89%); 45-day notice (buyout possible). Note: Located in Coimbatore, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
73,CAND_0040887,Machine Learning Engineer,Netflix,40.57505,0.0,,0,2.5,0.0,1.0,0.5,"Machine Learning Engineer at Netflix with 4.7 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Behavioral signals: strong recruiter response rate (84%); 15-day notice. Note: Located outside India (Toronto) — case-by-case per JD."
74,CAND_0058426,Data Scientist,Wysa,40.558651,0.0,,0,1.5,0.0,2.0,1.0,"Data Scientist at Wysa with 6.5 years of experience: Profile-text evidence in Python Engineering: 'fetime value estimation. Used scikit-learn and XGBoost; main models were grad...'. Behavioral signals: 45-day notice (buyout possible). Note: Located in Bangalore, Karnataka, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
75,CAND_0091580,Data Scientist,Niramai,40.306121,0.0,,0,1.0,0.0,2.0,1.0,Data Scientist at Niramai with 5.5 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: low recruiter response rate (25%); 60-day notice (buyout possible). Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates.
76,CAND_0080372,Computer Vision Engineer,Zoho,39.918237,0.0,,0,1.0,0.0,2.0,1.0,Computer Vision Engineer at Zoho with 5.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 90-day notice (significant barrier). Note: No evidence of LLM Integration & RAG; overall evidence density is lower than top-tier candidates.
77,CAND_0073504,Junior ML Engineer,PolicyBazaar,39.710236,0.0,,0,1.0,0.0,2.0,1.0,Junior ML Engineer at PolicyBazaar with 6.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (78%); 60-day notice (buyout possible). Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates.
78,CAND_0013613,Machine Learning Engineer,Adobe,39.700715,0.0,,0,2.0,0.0,3.0,1.0,"Machine Learning Engineer at Adobe with 4.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'eling itself. Built a content recommendation system serving 10M+ users that c...'. Behavioral signals: 60-day notice (buyout possible). Note: Frequent title changes noted across recent roles. Located outside India (Singapore) — case-by-case per JD."
79,CAND_0098952,AI Research Engineer,CRED,39.608892,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at CRED with 5.5 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 45-day notice (buyout possible). Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates.
80,CAND_0054829,Computer Vision Engineer,BYJU'S,39.279398,0.0,,0,1.0,0.0,2.0,1.0,Computer Vision Engineer at BYJU'S with 5.7 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (75%); 45-day notice (buyout possible). Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates.
81,CAND_0016170,AI Research Engineer,Dream11,39.22967,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at Dream11 with 6.8 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 90-day notice (significant barrier). Note: Located outside India (Sydney) — case-by-case per JD.
82,CAND_0020708,Search Engineer,PolicyBazaar,39.074575,0.0,,0,2.0,0.0,1.0,0.5,"Search Engineer at PolicyBazaar with 4.2 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Behavioral signals: strong recruiter response rate (84%); 30-day notice. Note: Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
83,CAND_0039838,Recommendation Systems Engineer,Amazon,38.940854,0.0,,0,1.0,0.0,3.0,1.0,"Recommendation Systems Engineer at Amazon with 4.9 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Behavioral signals: strong recruiter response rate (80%); 90-day notice (significant barrier). Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
84,CAND_0048558,Data Scientist,Rephrase.ai,38.901222,0.0,,0,1.0,0.0,2.0,1.0,Data Scientist at Rephrase.ai with 6.7 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (80%); 30-day notice. Note: No evidence of LLM Integration & RAG; overall evidence density is lower than top-tier candidates.
85,CAND_0084283,Junior ML Engineer,Sarvam AI,38.893145,0.0,,0,1.5,0.0,2.0,1.0,Junior ML Engineer at Sarvam AI with 3.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (86%); 30-day notice. Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates.
86,CAND_0007411,Senior Machine Learning Engineer,Amazon,38.827004,0.0,,0,2.5,0.0,2.0,0.5,"Senior Machine Learning Engineer at Amazon with 8.0 years of experience: Profile-text evidence in Retrieval Systems: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer pro...'. Behavioral signals: low recruiter response rate (12%); 15-day notice. Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
87,CAND_0079064,Senior Data Scientist,Niramai,38.771128,0.0,,0,2.0,0.0,1.0,0.5,"Senior Data Scientist at Niramai with 5.2 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Behavioral signals: strong recruiter response rate (91%); 120-day notice (significant barrier). Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates."
88,CAND_0078042,Applied ML Engineer,PolicyBazaar,38.757431,0.0,,0,1.0,2.0,3.0,1.0,"Applied ML Engineer at PolicyBazaar with 4.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Behavioral signals: strong recruiter response rate (91%); 30-day notice. Note: Located outside India (Dubai) — case-by-case per JD."
89,CAND_0035879,AI Research Engineer,Krutrim,38.636619,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at Krutrim with 4.5 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (82%); 120-day notice (significant barrier). Note: No evidence of LLM Integration & RAG; overall evidence density is lower than top-tier candidates.
90,CAND_0064130,AI Research Engineer,Unacademy,38.27266,0.0,,0,0.0,0.0,2.0,1.0,"AI Research Engineer at Unacademy with 6.7 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 45-day notice (buyout possible). Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
91,CAND_0032089,ML Engineer,Saarthi.ai,38.005306,0.0,,0,1.5,0.0,2.0,1.0,"ML Engineer at Saarthi.ai with 6.6 years of experience: Profile-text evidence in Python Engineering: 'fetime value estimation. Used scikit-learn and XGBoost; main models were grad...'. Behavioral signals: 45-day notice (buyout possible). Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
92,CAND_0057701,Recommendation Systems Engineer,Verloop.io,38.004105,0.0,,0,1.5,0.0,3.0,1.0,"Recommendation Systems Engineer at Verloop.io with 4.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Behavioral signals: 120-day notice (significant barrier). Note: Located in Chandigarh, Chandigarh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
93,CAND_0010149,ML Engineer,Glance,37.993364,0.0,,0,1.0,0.0,2.0,1.0,"ML Engineer at Glance with 6.9 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (82%); 90-day notice (significant barrier). Note: Located in Bangalore, Karnataka, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
94,CAND_0000273,ML Engineer,BYJU'S,37.758728,0.0,,0,1.0,0.0,2.0,1.0,"ML Engineer at BYJU'S with 5.8 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 60-day notice (buyout possible). Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
95,CAND_0073007,AI Specialist,Aganitha,37.632612,0.0,,0,1.0,0.0,2.0,1.0,"AI Specialist at Aganitha with 5.8 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (83%); 60-day notice (buyout possible). Note: Located in Bangalore, Karnataka, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
96,CAND_0017178,ML Engineer,Swiggy,37.518487,0.0,,0,1.0,0.0,2.0,1.0,ML Engineer at Swiggy with 4.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (85%); 30-day notice. Note: No evidence of Evaluation Metrics; overall evidence density is lower than top-tier candidates.
97,CAND_0046278,Senior Software Engineer (ML),Dream11,37.509979,0.0,,0,1.0,0.0,2.0,1.0,"Senior Software Engineer (ML) at Dream11 with 4.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 60-day notice (buyout possible). Note: Located in Ahmedabad, Gujarat, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
98,CAND_0094685,AI Research Engineer,Krutrim,37.292623,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at Krutrim with 3.5 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 45-day notice (buyout possible). Note: No evidence of LLM Integration & RAG; overall evidence density is lower than top-tier candidates.
99,CAND_0027723,ML Engineer,Wysa,37.053825,0.0,,0,1.0,0.0,2.0,1.0,"ML Engineer at Wysa with 4.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: low recruiter response rate (38%); 30-day notice. Note: Located in Ahmedabad, Gujarat, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
100,CAND_0064331,Senior Software Engineer (ML),Swiggy,37.046123,0.0,,0,1.0,0.0,2.0,1.0,"Senior Software Engineer (ML) at Swiggy with 4.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 30-day notice. Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
