rank,candidate_id,score,judge_tier,judge_note,title,company,yoe,location,open_to_work,last_active,response_rate,notice_days,willing_relocate,github,saved_30d,apps_30d,core_score,ce_score,rrf_score,retrieval_search,vector_db_hybrid,eval_framework,ltr_reranking,llm_integration,python_coding,sys_experience_score,product_ratio,experience_recency,depth_signal,ninety_day_alignment,wrong_domain,research_only,suspicious,honeypot_score,is_ghost,roles,current_description,relevant_skills,submission_reasoning
22,CAND_0094759,55.961843,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Lead AI Engineer,Meta,8.6,"Mumbai, Maharashtra",False,2026-01-08,0.11,30,True,76.2,5,18,71.79,73.62,0.05141033400624194,2.0,2.0,2.0,3.0,2.0,1.5,1.0,1.0,0.5,0.5,0.9422,False,False,False,0.0,False,*Lead AI Engineer @ Meta [32m] | Senior NLP Engineer @ Apple [28m] | Senior Applied Scientist @ Locobuzz [41m],Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Most of the engineering effort went into the boring infrastructure: index versioni,"Semantic Search(expert,52m); Qdrant(advanced,55m); Fine-tuning LLMs(expert,65m); Vector Search(expert,41m); FAISS(expert,47m); Weaviate(expert,45m)","Lead AI Engineer at Meta with 8.6 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems."
23,CAND_0044883,55.040727,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,AI Engineer,Mad Street Den,6.3,Berlin,False,2026-05-07,0.84,90,True,70.5,59,1,66.85,90.94,0.04545510205823673,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,0.3,1.0,0.6444,False,False,False,0.0,False,*AI Engineer @ Mad Street Den [15m] | Search Engineer @ Adobe [13m] | Recommendation Systems Engineer @ Meesho [14m] | Recommendation Systems Engineer @ Paytm [32m],"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Designed the evaluation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop quality scores. Deploy","BM25(expert,73m); Embeddings(advanced,45m); QLoRA(expert,80m); Fine-tuning LLMs(expert,64m); PyTorch(expert,86m); Semantic Search(expert,56m)","AI Engineer at Mad Street Den with 6.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located outside India (Berlin) — case-by-case per JD."
24,CAND_0096142,54.640284,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Applied ML Engineer,upGrad,5.0,"Hyderabad, Telangana",True,2026-05-21,0.84,120,False,80.5,18,14,70.28,56.39,0.03643221909731344,2.5,2.5,0.0,3.0,1.5,1.0,1.0,1.0,1.0,1.0,0.6889,False,False,False,0.0,False,*Applied ML Engineer @ upGrad [42m] | Applied ML Engineer @ BYJU'S [18m],"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell","LoRA(advanced,55m); Weaviate(advanced,58m); Pinecone(expert,62m); Python(expert,72m); RAG(advanced,47m); BM25(expert,69m)","Applied ML Engineer at upGrad with 5.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'eling itself. Built a content recommendation system serving 10M+ users that c...'. Also demonstrates capabilities in Retrieval Systems."
25,CAND_0052328,52.920792,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Recommendation Systems Engineer,Amazon,6.5,"Pune, Maharashtra",True,2026-03-31,0.79,30,False,77.6,31,4,58.84,63.78,0.03902563190365755,2.0,2.0,0.0,1.0,2.5,1.0,1.0,1.0,0.3,0.5,0.5556,False,False,False,0.0,False,*Recommendation Systems Engineer @ Amazon [52m] | Senior Data Scientist @ Observe.AI [25m],"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Designed the evaluation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop quality scores. Deploy","LoRA(advanced,53m); OpenSearch(expert,42m); QLoRA(expert,54m); Recommendation Systems(advanced,34m); Fine-tuning LLMs(advanced,36m); Vector Search(expert,53m); Python(advanced,50m)",Recommendation Systems Engineer at Amazon with 6.5 years of experience: Profile-text evidence in LLM Integration & RAG: 'Implemented a RAG-based customer support chatbot integrated with our exist'. Also demonstrates capabilities in Retrieval Systems.
26,CAND_0070398,52.769823,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Machine Learning Engineer,Genpact AI,7.2,"Kochi, Kerala",True,2026-04-14,0.6,120,True,63.1,13,21,66.62,77.15,0.030559423235237686,2.0,2.0,0.0,3.0,1.5,2.0,1.0,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*Machine Learning Engineer @ Genpact AI [37m] | Applied ML Engineer @ Uber [22m] | Machine Learning Engineer @ Mad Street Den [26m],"Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, valid","BM25(expert,71m); RAG(expert,72m); FAISS(expert,90m); Embeddings(expert,92m); PyTorch(advanced,55m); LoRA(advanced,41m); Python(expert,40m); Information Retrieval(expert,65m); pgvector(advanced,19m); Fine-tuning LLMs(expert,87m); Recommendation Systems(advanced,33m)","Machine Learning Engineer at Genpact AI with 7.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
27,CAND_0033861,52.716985,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Senior NLP Engineer,Mad Street Den,8.0,"Vizag, Andhra Pradesh",False,2026-02-16,0.16,30,False,32.6,4,11,81.74,66.19,0.0533807012945354,2.5,2.5,2.0,3.0,2.0,2.0,1.0,1.0,0.5,1.0,0.9867,False,False,False,0.0,False,*Senior NLP Engineer @ Mad Street Den [30m] | Senior NLP Engineer @ Sarvam AI [39m] | Senior AI Engineer @ Paytm [26m],"Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. ","Weaviate(expert,42m); LoRA(advanced,23m); LLMs(expert,78m); Elasticsearch(expert,58m); Pinecone(advanced,43m); Qdrant(advanced,39m); Vector Search(expert,59m); Milvus(expert,42m)","Senior NLP Engineer at Mad Street Den with 8.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'uilt and shipped a production recommendation system at a marketplace product,...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
28,CAND_0088025,52.596683,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Staff Machine Learning Engineer,Yellow.ai,8.6,"Jaipur, Rajasthan",True,2026-05-14,0.83,90,False,74.6,19,17,56.23,82.05,0.05221107977761971,2.5,2.5,0.0,2.0,1.5,1.0,0.5,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*Staff Machine Learning Engineer @ Yellow.ai [45m] | Staff Machine Learning Engineer @ Niramai [44m] | Senior Machine Learning Engineer @ Genpact AI [13m],Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three ,"Pinecone(advanced,49m); QLoRA(expert,83m); LLMs(expert,71m); RAG(expert,41m); LoRA(advanced,22m); BM25(expert,61m); Elasticsearch(expert,69m); pgvector(expert,61m); Python(expert,63m)","Staff Machine Learning Engineer at Yellow.ai with 8.6 years of experience: Profile-text evidence in Retrieval Systems: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer pro...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
29,CAND_0042100,52.46517,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Machine Learning Engineer,Freshworks,7.3,Singapore,True,2026-03-23,0.87,90,True,43.3,11,18,62.22,58.3,0.017204991506853434,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8533,False,False,False,0.0,False,*Machine Learning Engineer @ Freshworks [52m] | Senior Data Scientist @ Netflix [34m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","Elasticsearch(expert,65m); Recommendation Systems(expert,85m); Semantic Search(advanced,48m); Fine-tuning LLMs(expert,78m); Pinecone(expert,69m); LLMs(expert,61m); QLoRA(expert,84m); PyTorch(advanced,35m)","Machine Learning Engineer at Freshworks with 7.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Evaluation Metrics. Note: Located outside India (Singapore) — case-by-case per JD."
30,CAND_0051292,52.407986,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Applied ML Engineer,Freshworks,5.2,"Trivandrum, Kerala",True,2026-04-12,0.52,30,False,61.7,9,19,59.27,46.82,0.024588431176681136,2.0,2.0,2.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.8533,False,False,False,0.0,False,*Applied ML Engineer @ Freshworks [16m] | Search Engineer @ Vedantu [28m] | Search Engineer @ Vedantu [16m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","pgvector(expert,64m); FAISS(advanced,21m); LLMs(advanced,28m); Vector Search(expert,43m); Fine-tuning LLMs(expert,48m); RAG(expert,86m); Elasticsearch(expert,39m)","Applied ML Engineer at Freshworks with 5.2 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
31,CAND_0032515,51.312757,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Machine Learning Engineer,PharmEasy,5.1,Seattle,False,2026-05-14,0.54,45,False,67.4,40,8,69.57,54.25,0.02054730775589476,1.5,1.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8978,False,False,False,0.0,False,*Machine Learning Engineer @ PharmEasy [12m] | AI Engineer @ Razorpay [22m] | Search Engineer @ Zoho [26m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","Milvus(advanced,50m); Vector Search(expert,48m); QLoRA(expert,38m); Fine-tuning LLMs(expert,45m); Elasticsearch(expert,62m); PyTorch(expert,69m); Semantic Search(expert,93m)","Machine Learning Engineer at PharmEasy with 5.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Evaluation Metrics. Note: Located outside India (Seattle) — case-by-case per JD."
32,CAND_0030031,50.616125,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,AI Engineer,Microsoft,5.7,"Trivandrum, Kerala",False,2026-05-22,0.94,30,False,32.4,13,21,68.08,80.25,0.04307260517877107,2.0,2.0,0.0,3.0,1.0,1.5,1.0,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*AI Engineer @ Microsoft [13m] | Senior Data Scientist @ Amazon [27m] | Search Engineer @ Google [27m],Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-day retent,"Information Retrieval(advanced,19m); PyTorch(advanced,38m); Python(expert,57m); RAG(expert,45m); LoRA(expert,95m); QLoRA(expert,61m); BM25(advanced,50m); Milvus(advanced,60m); Vector Search(expert,74m)","AI Engineer at Microsoft with 5.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Built a content recommendation system serving 10M+ users that combined colla'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
33,CAND_0084819,49.595232,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Search Engineer,Dream11,4.5,"Indore, Madhya Pradesh",True,2026-05-09,0.74,120,False,55.6,50,20,61.47,77.3,0.037603615981029806,2.5,2.5,2.0,2.5,2.0,1.0,0.5,1.0,0.3,1.0,0.9422,False,False,False,0.0,False,*Search Engineer @ Dream11 [33m] | Senior Data Scientist @ Razorpay [20m],"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Designed the evaluation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop quality scores. Deploy","Semantic Search(advanced,21m); BM25(expert,64m); OpenSearch(expert,78m); Recommendation Systems(expert,40m); PyTorch(advanced,25m); Weaviate(expert,57m); LoRA(expert,86m); Information Retrieval(expert,80m)","Search Engineer at Dream11 with 4.5 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
34,CAND_0010257,49.553675,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior Data Scientist,Google,6.5,"Noida, Uttar Pradesh",True,2026-05-13,0.72,120,True,45.5,35,16,69.32,32.62,0.018034389964863447,2.5,2.5,0.0,3.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6889,False,False,False,0.0,False,*Senior Data Scientist @ Google [37m] | Search Engineer @ PharmEasy [14m] | Senior Data Scientist @ Google [26m],"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now used by the customer success team to prioritize outreach. Designed the model monitoring stack: data drift detection, prediction distribution checks, and alerting. Mentored a junior engineer through their first end-to-end ML","Milvus(expert,72m); Python(expert,86m); OpenSearch(advanced,26m); Qdrant(expert,52m); Recommendation Systems(expert,67m); pgvector(advanced,40m)","Senior Data Scientist at Google with 6.5 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'eling itself. Built a content recommendation system serving 10M+ users that c...'. Also demonstrates capabilities in Retrieval Systems."
35,CAND_0083879,49.384763,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Machine Learning Engineer,Ola,7.1,"Noida, Uttar Pradesh",True,2026-04-17,0.47,30,False,-1.0,64,14,55.88,65.11,0.02705530008555179,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5556,False,False,False,0.0,False,*Machine Learning Engineer @ Ola [19m] | Search Engineer @ PhonePe [46m] | Senior Data Scientist @ Swiggy [19m],"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now used by the customer success team to prioritize outreach. Designed the model monitoring stack: data drift detection, prediction distribution checks, and alerting. Mentored a junior engineer through their first end-to-end ML","Fine-tuning LLMs(expert,90m); Milvus(advanced,47m)","Machine Learning Engineer at Ola with 7.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
36,CAND_0041610,49.369145,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Recommendation Systems Engineer,Zoho,6.7,"Indore, Madhya Pradesh",True,2026-05-14,0.52,30,True,52.1,18,16,70.85,57.58,0.03722422853438896,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8533,False,False,False,0.0,False,*Recommendation Systems Engineer @ Zoho [31m] | Applied ML Engineer @ Observe.AI [26m] | Search Engineer @ InMobi [15m] | Machine Learning Engineer @ Swiggy [7m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","LoRA(advanced,32m); Elasticsearch(expert,94m); OpenSearch(expert,82m); BM25(expert,75m); Embeddings(advanced,55m); pgvector(expert,39m); Recommendation Systems(expert,62m); PyTorch(advanced,36m)","Recommendation Systems Engineer at Zoho with 6.7 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Frequent title changes noted across recent roles. Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
37,CAND_0006418,49.268066,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Machine Learning Engineer,Verloop.io,5.7,"Gurgaon, Haryana",True,2026-03-31,0.92,60,True,59.7,9,9,59.05,69.03,0.016319896522367257,1.5,1.5,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.5,0.6,False,False,False,0.0,False,*Machine Learning Engineer @ Verloop.io [40m] | AI Engineer @ Flipkart [27m],"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell","Semantic Search(expert,69m); Embeddings(expert,71m); Weaviate(expert,93m); Elasticsearch(advanced,44m); Qdrant(expert,53m); OpenSearch(expert,48m)","Machine Learning Engineer at Verloop.io with 5.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
38,CAND_0036863,48.631865,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior Data Scientist,upGrad,4.3,"Chennai, Tamil Nadu",True,2026-04-15,0.46,60,True,-1.0,57,19,61.79,45.37,0.029177747228727693,2.5,2.5,2.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,0.9422,False,False,False,0.0,False,*Senior Data Scientist @ upGrad [12m] | Recommendation Systems Engineer @ Zoho [33m] | AI Engineer @ Wysa [6m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","Qdrant(expert,38m); OpenSearch(expert,49m); BM25(advanced,58m); FAISS(expert,36m); LoRA(expert,90m)","Senior Data Scientist at upGrad with 4.3 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
39,CAND_0069638,48.521391,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Computer Vision Engineer,Swiggy,6.2,"Chennai, Tamil Nadu",True,2026-04-29,0.64,30,True,23.7,15,9,54.16,45.94,0.013638769071012063,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.4667,False,False,False,0.0,False,*Computer Vision Engineer @ Swiggy [32m] | AI Research Engineer @ Zomato [31m] | Computer Vision Engineer @ Nykaa [10m],"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side of the work; production deployment was handled by the platform team.","Semantic Search(advanced,43m); Fine-tuning LLMs(advanced,35m); Pinecone(advanced,60m); PyTorch(advanced,24m)","Computer Vision Engineer at Swiggy with 6.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Python Engineering. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
40,CAND_0042506,48.379546,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Search Engineer,Verloop.io,4.2,"Mumbai, Maharashtra",True,2026-05-22,0.48,15,False,64.0,49,22,49.02,90.25,0.03241199781118694,2.0,2.0,0.0,2.0,2.0,1.5,0.5,1.0,0.3,1.0,0.5556,False,False,False,0.0,False,*Search Engineer @ Verloop.io [18m] | Machine Learning Engineer @ Meesho [32m],"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Designed the evaluation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop quality scores. Deploy","Semantic Search(advanced,27m); Fine-tuning LLMs(expert,53m); Information Retrieval(expert,88m); Milvus(expert,41m); Qdrant(expert,47m); FAISS(expert,81m); pgvector(expert,49m)","Search Engineer at Verloop.io with 4.2 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure."
41,CAND_0007412,48.119242,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Applied ML Engineer,Zoho,7.4,"Noida, Uttar Pradesh",True,2026-04-19,0.76,120,False,36.0,38,20,70.05,50.86,0.016430636986873803,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.3,1.0,0.9422,False,False,False,0.0,False,*Applied ML Engineer @ Zoho [33m] | Recommendation Systems Engineer @ Locobuzz [19m] | Search Engineer @ Swiggy [14m] | Machine Learning Engineer @ Glance [13m],"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Designed the evaluation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop quality scores. Deploy","Pinecone(expert,96m); Milvus(advanced,60m); PyTorch(expert,74m); BM25(expert,44m); RAG(advanced,23m); Recommendation Systems(expert,83m)","Applied ML Engineer at Zoho with 7.4 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Frequent title changes noted across recent roles."
42,CAND_0005260,47.663912,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Senior NLP Engineer,Netflix,5.2,"Chennai, Tamil Nadu",False,2026-05-10,0.86,60,True,-1.0,11,6,71.88,61.77,0.04790951728904992,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.5,0.5,0.9422,False,False,False,0.0,False,*Senior NLP Engineer @ Netflix [34m] | Senior NLP Engineer @ Yellow.ai [27m],"Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. ","Information Retrieval(advanced,45m); Semantic Search(expert,56m); Python(expert,43m); LoRA(expert,43m); RAG(advanced,50m); pgvector(advanced,21m); Embeddings(expert,95m)","Senior NLP Engineer at Netflix with 5.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
43,CAND_0046132,47.24587,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,AI Research Engineer,Verloop.io,4.3,"Noida, Uttar Pradesh",True,2026-05-26,0.94,30,False,-1.0,30,8,47.05,60.45,0.008415362043376989,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4667,False,False,False,0.0,False,*AI Research Engineer @ Verloop.io [18m] | Senior Software Engineer (ML) @ Meesho [33m],"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side of the work; production deployment was handled by the platform team.","Information Retrieval(intermediate,13m); PyTorch(intermediate,28m); Fine-tuning LLMs(intermediate,18m)",AI Research Engineer at Verloop.io with 4.3 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Retrieval Systems.
